raMean,decMean,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
357.30544733,-30.47953933,21.635900497436523,0.15083500742912292,21.17770004272461,0.06128599867224693,20.846799850463867,0.06024499982595444
357.28261298,-30.48944689,20.881200790405273,0.004056999925523996,20.310400009155273,0.03546399995684624,20.454299926757812,0.048902999609708786
357.52427267,-31.2231304,19.838300704956055,0.03751799836754799,19.308300018310547,0.022081000730395317,19.15169906616211,0.08841799944639206
357.52376787,-31.2223697,18.744300842285156,0.11026299744844437,18.5935001373291,0.011943000368773937,18.56999969482422,0.0692640021443367
357.46736604,-31.19384383,15.580900192260742,0.00177800003439188,15.11620044708252,0.002182000083848834,14.922100067138672,0.005967000033706427
357.47300408,-31.18945523,19.296899795532227,0.03463999927043915,19.079200744628906,0.008670000359416008,18.982500076293945,0.02237500064074993
357.46146647,-31.18379809,20.609600067138672,0.1561949998140335,19.619800567626953,0.013124000281095505,19.095399856567383,0.04862400144338608
357.50505864,-31.18680895,19.687400817871094,0.03999000042676926,19.440900802612305,0.013935999944806099,19.38409996032715,0.05674700066447258
357.48700258,-31.1745742,21.177099227905273,0.060823000967502594,20.175100326538086,0.019943000748753548,19.721599578857422,0.10330899804830551
357.42851357,-31.1645131,20.778099060058594,0.08820600062608719,20.771499633789062,0.030567999929189682,20.511999130249023,0.06730200350284576
357.43982517,-31.17588363,20.439899444580078,0.1721320003271103,20.496299743652344,0.030722999945282936,20.547500610351562,0.03748900070786476
357.45440011,-31.17401758,16.74519920349121,0.0007580000092275441,16.135400772094727,0.003361999988555908,15.885199546813965,0.00950700044631958
357.22933339,-31.12760171,20.804399490356445,0.011257999576628208,20.395000457763672,0.05279399827122688,19.94059944152832,0.0010610000463202596
357.23769433,-31.11555587,21.008100509643555,0.02806200087070465,20.797000885009766,0.03269999846816063,20.788299560546875,0.22958000004291534
357.22048715,-31.120458,19.438100814819336,0.012895000167191029,18.37689971923828,0.008022000081837177,17.917299270629883,0.015348999761044979
357.22560939,-31.12641215,21.023500442504883,0.09856600314378738,20.539600372314453,0.0389459989964962,20.431400299072266,0.07440699636936188
357.22454859,-31.12571042,20.15760040283203,0.24993200600147247,19.956899642944336,0.017470000311732292,19.715700149536133,0.026569999754428864
357.2349773,-31.09851196,20.278200149536133,0.09626399725675583,19.870899200439453,0.019858000800013542,19.59950065612793,0.005497999954968691
357.22299393,-31.10255315,20.346200942993164,0.043852999806404114,19.923900604248047,0.01447600033134222,19.79439926147461,0.060201000422239304
357.22330981,-31.09938285,20.89389991760254,0.1511549949645996,20.657499313354492,0.04540200158953667,20.636499404907227,0.03849299997091293
357.22205,-31.09765838,19.85260009765625,0.03607200086116791,18.582199096679688,0.008460000157356262,17.99880027770996,0.012431000359356403
357.22687847,-31.10171457,21.638999938964844,0.16828599572181702,21.284400939941406,0.022443000227212906,20.693899154663086,0.1686590015888214
356.61136507,-31.04184252,21.561199188232422,0.1581670045852661,20.152299880981445,0.02465599961578846,19.39459991455078,0.012993999756872654
356.60570581,-31.05434701,16.88360023498535,0.024421999230980873,16.666799545288086,0.0036639999598264694,16.640300750732422,0.0019660000689327717
357.39530116,-30.65589259,20.303199768066406,0.04264700040221214,19.5039005279541,0.016753999516367912,19.098400115966797,0.0210999995470047
357.40373769,-30.66543142,21.400999069213867,0.07390499860048294,21.060800552368164,0.055100999772548676,20.79129981994629,0.16916599869728088
357.4124738,-30.66412649,21.543500900268555,0.0919170007109642,20.96780014038086,0.02754499949514866,20.484100341796875,0.031890999525785446
357.40918194,-30.66372458,21.524999618530273,0.15193499624729156,20.606300354003906,0.06644699722528458,20.183799743652344,0.08924700319766998
357.40830126,-30.66396997,21.31290054321289,0.07417400181293488,20.623699188232422,0.03696199879050255,20.31410026550293,0.049049001187086105
357.32426364,-30.83310901,21.277299880981445,0.24062299728393555,20.786699295043945,0.06856200098991394,20.558500289916992,0.07054600119590759
357.32919811,-30.82479467,20.969100952148438,0.1584790050983429,20.16010093688965,0.03630499914288521,20.0625,0.04057300090789795
357.3335024,-30.82740435,20.917499542236328,0.09685800224542618,20.67460060119629,0.04043300077319145,20.38279914855957,0.05571100115776062
357.33132381,-30.82677994,21.504600524902344,0.03094800002872944,20.81559944152832,0.09169399738311768,20.932899475097656,0.16037899255752563
356.90985969,-30.87962458,21.207500457763672,0.050220999866724014,20.55270004272461,0.04449800029397011,20.437700271606445,0.019713999703526497
357.02774736,-31.32293704,20.05900001525879,0.06933999806642532,19.557899475097656,0.019951999187469482,19.2283992767334,0.04699699953198433
356.74316155,-31.01682295,20.79450035095215,0.10774999856948853,20.530500411987305,0.05688900128006935,20.0841007232666,0.06461899727582932
356.97577539,-30.48414928,21.167299270629883,0.17742200195789337,20.86440086364746,0.03544500097632408,20.888099670410156,0.05813699960708618
356.95954492,-30.47412396,19.865299224853516,0.0019120000069960952,19.222900390625,0.01978899911046028,19.079200744628906,0.031170999631285667
356.96510352,-30.48390731,20.901599884033203,0.09108000248670578,20.510700225830078,0.03143199905753136,20.642900466918945,0.052205998450517654
